seq,subj,item,cond,R1,R2,R3,R4,R5,R6
11,1,2,1,1,1,0,0,0,0
36,1,4,1,1,0,0,0,0,0
15,1,6,1,1,1,0,0,0,0
23,1,8,1,1,1,0,0,0,0
30,1,10,1,1,0,0,0,0,0
40,1,12,1,1,1,0,0,0,0
42,1,14,1,1,1,0,0,0,0
29,1,16,1,1,1,0,0,0,0
4,1,18,1,1,1,0,0,0,0
41,1,20,1,1,1,0,0,0,0
39,1,22,1,1,0,0,0,1,0
13,1,24,1,1,0,0,0,0,0
6,1,26,1,1,0,1,0,1,0
21,1,28,1,1,0,1,1,0,0
14,1,30,1,1,1,0,1,0,0
35,1,32,1,1,0,0,0,0,0
27,1,1,2,1,1,0,0,0,0
7,1,3,2,0,0,1,1,0,0
1,1,5,2,1,0,1,0,0,0
9,1,7,2,1,0,0,0,1,0
18,1,9,2,1,1,0,1,0,0
32,1,11,2,0,1,0,0,0,0
20,1,13,2,1,0,0,0,0,0
25,1,15,2,1,0,0,0,0,0
34,1,17,2,1,1,0,0,0,0
5,1,19,2,1,1,0,0,0,0
26,1,21,2,0,1,1,0,0,0
38,1,23,2,1,0,1,1,0,0
22,1,25,2,0,0,0,0,0,0
3,1,27,2,1,1,1,1,1,0
33,1,29,2,1,0,1,1,0,0
17,1,31,2,1,0,0,1,1,0
2,2,2,1,0,0,0,0,0,0
5,2,4,1,0,1,0,0,1,0
40,2,6,1,1,0,0,0,0,0
33,2,8,1,0,0,0,0,0,0
10,2,10,1,0,0,0,0,0,0
24,2,12,1,0,0,0,0,0,0
19,2,14,1,0,0,0,1,0,0
13,2,16,1,0,0,0,0,0,0
28,2,18,1,0,0,0,0,0,0
26,2,20,1,0,0,0,1,0,0
9,2,22,1,1,0,0,0,0,0
22,2,24,1,0,0,0,0,1,0
25,2,26,1,0,0,0,0,0,0
42,2,28,1,0,1,0,0,1,0
4,2,30,1,0,0,0,0,0,0
32,2,32,1,0,0,0,0,0,0
7,2,1,2,0,1,0,0,0,0
38,2,3,2,0,0,0,0,1,0
35,2,5,2,0,0,0,0,0,0
20,2,7,2,0,0,0,0,0,0
29,2,9,2,0,1,1,0,0,0
27,2,11,2,1,1,0,0,1,0
14,2,13,2,0,0,0,1,1,0
12,2,15,2,0,0,0,0,0,0
16,2,17,2,0,0,0,1,1,0
17,2,19,2,0,0,1,0,0,0
18,2,21,2,1,0,0,0,0,0
37,2,23,2,0,0,0,0,0,0
23,2,25,2,0,0,0,0,0,0
15,2,27,2,0,0,0,0,0,0
1,2,29,2,1,1,0,0,0,0
31,2,31,2,0,0,0,0,0,0
18,3,2,1,1,0,0,0,0,0
36,3,4,1,0,0,0,0,0,0
26,3,6,1,0,0,0,0,0,0
29,3,8,1,0,0,1,0,0,0
32,3,10,1,0,0,0,0,0,0
8,3,12,1,0,0,0,0,0,0
10,3,14,1,1,0,0,0,0,0
21,3,16,1,0,0,0,0,0,0
39,3,18,1,0,0,0,0,0,0
38,3,20,1,1,1,0,0,0,0
7,3,22,1,0,0,0,0,0,0
42,3,24,1,0,0,0,0,0,0
12,3,26,1,1,0,0,0,0,0
20,3,28,1,1,0,1,0,0,0
16,3,30,1,1,0,0,0,0,0
17,3,32,1,0,0,0,0,0,0
5,3,1,2,1,1,0,0,0,0
22,3,3,2,0,0,0,1,0,0
40,3,5,2,0,0,0,0,0,0
13,3,7,2,1,0,0,0,0,0
3,3,9,2,1,0,0,0,0,0
1,3,11,2,0,0,0,0,1,0
24,3,13,2,1,0,0,0,0,0
11,3,15,2,0,0,0,0,0,0
34,3,17,2,0,0,0,1,0,0
25,3,19,2,1,0,1,0,0,0
2,3,21,2,0,1,0,0,0,0
15,3,23,2,1,0,0,0,0,0
35,3,25,2,1,0,0,0,0,0
28,3,27,2,1,1,0,0,0,0
9,3,29,2,1,0,1,0,0,0
31,3,31,2,0,0,0,1,1,0
27,4,2,1,0,0,0,0,0,0
36,4,4,1,0,0,0,0,0,0
10,4,6,1,0,0,0,1,0,0
19,4,8,1,1,0,0,0,0,0
7,4,10,1,1,0,0,0,0,0
5,4,12,1,1,0,1,0,0,0
30,4,14,1,0,0,0,0,0,0
15,4,16,1,0,0,0,0,0,0
38,4,18,1,1,0,0,0,0,0
41,4,20,1,1,0,0,0,0,0
24,4,22,1,0,1,0,0,0,0
39,4,24,1,0,0,0,0,0,0
6,4,26,1,0,0,0,0,0,0
12,4,28,1,0,0,0,0,0,0
1,4,30,1,0,0,0,0,0,0
29,4,32,1,0,0,0,0,0,0
33,4,1,2,0,0,0,0,0,0
22,4,3,2,0,0,0,0,0,0
2,4,5,2,0,0,1,0,0,0
13,4,7,2,0,0,0,0,0,0
17,4,9,2,0,0,0,0,1,0
25,4,11,2,1,0,0,0,0,0
40,4,13,2,0,0,0,0,0,0
21,4,15,2,0,0,0,0,1,0
31,4,17,2,1,0,0,0,0,0
16,4,19,2,1,0,0,0,0,0
4,4,21,2,0,0,0,0,0,0
35,4,23,2,0,0,0,0,0,0
9,4,25,2,0,0,0,0,0,0
42,4,27,2,0,0,0,0,0,0
26,4,29,2,0,0,0,0,1,0
32,4,31,2,0,0,1,0,0,0
24,5,2,1,0,0,1,0,0,0
28,5,4,1,0,0,0,0,0,0
26,5,6,1,0,0,0,0,0,0
18,5,8,1,1,0,0,0,0,0
11,5,10,1,0,0,0,0,0,0
9,5,12,1,0,0,0,0,0,0
21,5,14,1,0,0,0,0,0,0
7,5,16,1,0,0,1,0,0,0
32,5,18,1,0,0,0,0,0,0
8,5,20,1,0,0,0,0,0,0
10,5,22,1,0,0,1,0,0,0
30,5,24,1,0,0,1,0,0,0
34,5,26,1,1,0,0,0,1,0
33,5,28,1,0,0,0,0,0,0
13,5,30,1,0,1,0,0,0,0
6,5,32,1,0,1,0,0,0,0
35,5,1,2,1,0,0,0,1,0
4,5,3,2,0,0,0,0,0,0
37,5,5,2,0,0,0,0,0,0
22,5,7,2,0,0,0,0,0,0
39,5,9,2,0,0,0,0,0,0
31,5,11,2,0,1,1,0,0,0
16,5,13,2,0,1,0,0,0,0
42,5,15,2,1,1,0,0,0,0
15,5,17,2,1,0,0,0,0,0
20,5,19,2,0,0,0,0,0,0
2,5,21,2,0,0,0,0,0,0
14,5,23,2,0,1,0,1,0,0
17,5,25,2,1,1,0,0,0,0
3,5,27,2,0,1,0,0,0,0
41,5,29,2,0,0,0,0,0,0
